event,train_step,train_loss,learning_rate,gradient_norm,step_time_seconds,tokens_per_second,tokens_seen,elapsed_hours,estimated_training_cost,validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_total,sample_prompt,generated_continuation
train,13140,3.078108549118042,0.00018765308957450344,0.2841571569442749,1.7477533939818386,299978.2473919476,6889144320,6.4850670079777775,,,,,,,
train,13150,3.086390256881714,0.00018726067898938335,0.25950440764427185,1.7551345800166018,298716.69441726845,6894387200,6.490036275264445,,,,,,,
train,13160,3.0320026874542236,0.00018686868641990678,0.2822202742099762,2.8070850880176295,186773.1057522925,6899630080,6.495190849085832,,,,,,,
train,13170,3.194369316101074,0.00018647711301403373,0.2564590275287628,1.7472465769969858,300065.2609095965,6904872960,6.500046622200551,,,,,,,
train,13180,3.1128175258636475,0.00018608595991849677,0.26207879185676575,1.753772347990889,298948.7207964142,6910115840,6.5049056932591665,,,,,,,
train,13190,3.1327123641967773,0.0001856952282787975,0.2461618036031723,1.7525960939819925,299149.3600837541,6915358720,6.509773891610829,,,,,,,
train,13200,3.0485024452209473,0.0001853049192392029,0.279099702835083,1.7502590130025055,299548.8074079979,6920601600,6.514638218381669,,,,,,,
train,13210,3.161290407180786,0.00018491503394274297,0.2936807870864868,1.7511521609849297,299396.0271876751,6925844480,6.519502256634442,,,,,,,
train,13220,3.111721992492676,0.00018452557353120639,0.28260788321495056,1.7496027179877274,299661.1714246763,6931087360,6.524359727702775,,,,,,,
train,13230,3.1129095554351807,0.00018413653914513774,0.27993226051330566,1.7471797369944397,300076.7401881038,6936330240,6.529219779985554,,,,,,,
train,13240,3.092769145965576,0.00018374793192383357,0.28158700466156006,1.7496190069941804,299658.38157000765,6941573120,6.534080412757224,,,,,,,
train,13250,3.1500957012176514,0.00018335975300534007,0.26026269793510437,1.75167826199322,299306.10625002393,6946816000,6.538943632434166,,,,,,,
validation,13250,,,,,,,,,3.0852222442626953,,,,,
train,13260,3.1134302616119385,0.00018297200352644871,0.29096341133117676,1.7505959490081295,299491.1534538032,6952058880,6.544123954874441,,,,,,,
train,13270,3.0227041244506836,0.00018258468462269354,0.2745734453201294,1.749499547004234,299678.842956986,6957301760,6.548989022217501,,,,,,,
train,13280,3.0726897716522217,0.0001821977974283475,0.2649913430213928,1.743293336010538,300745.71454498504,6962544640,6.55384391727694,,,,,,,
train,13290,3.165111780166626,0.00018181134307641936,0.2673124372959137,1.7459183710161597,300293.5353127958,6967787520,6.558696767986387,,,,,,,
train,13300,3.1170854568481445,0.00018142532269865028,0.2507546842098236,1.7453664889908396,300388.48763685167,6973030400,6.563546671001111,,,,,,,
train,13310,3.0920815467834473,0.00018103973742551055,0.24800121784210205,1.7437777949962765,300662.1609154735,6978273280,6.568399864621387,,,,,,,
train,13320,3.130739450454712,0.00018065458838619614,0.3148707449436188,1.7446060619840864,300519.41892471904,6983516160,6.573251292724995,,,,,,,
train,13330,3.117002487182617,0.0001802698767086256,0.24833646416664124,1.7468938830133993,300125.84341734654,6988759040,6.578115396829445,,,,,,,
